GO_ID	term	annotated	significant_genes	auc	pvalue_wilcoxon	padj_wilcoxon_BH	direction	significant
GO:0006629	lipid metabolic process	1000	18	0.544332145281738	2.30785001931189e-06	5.42246128469092e-05	Higher in TB	FALSE
GO:0042273	ribosomal large subunit biogenesis	76	1	0.343311403508772	2.3340235825337e-06	5.46062198160438e-05	Lower in TB	TRUE
GO:0072522	purine-containing compound biosynthetic process	233	2	0.58968719071567	2.44574874619374e-06	5.69776551125983e-05	Higher in TB	FALSE
GO:0043487	regulation of RNA stability	185	2	0.399731644466921	2.59218257446408e-06	6.01342607358799e-05	Lower in TB	TRUE
GO:2000036	regulation of stem cell population maintenance	62	2	0.327404451037547	2.603903563014e-06	6.01523604598781e-05	Lower in TB	TRUE
GO:0044283	small molecule biosynthetic process	465	12	0.563467076202909	2.84880809187094e-06	6.55345058121607e-05	Higher in TB	FALSE
GO:0006082	organic acid metabolic process	691	15	0.552367284684495	2.87702646861732e-06	6.59078813519084e-05	Higher in TB	FALSE
GO:0043436	oxoacid metabolic process	684	15	0.552585993384974	2.92523375433618e-06	6.67341708769307e-05	Higher in TB	FALSE
GO:0061900	glial cell activation	43	3	0.705875671944874	2.99634469547172e-06	6.80739798996013e-05	Higher in TB	TRUE
GO:0002752	cell surface pattern recognition receptor signaling pathway	63	5	0.669949062739048	3.08914396263127e-06	6.98934712203569e-05	Higher in TB	TRUE
GO:0006914	autophagy	549	11	0.558298196201803	3.13663321915847e-06	7.03886099548296e-05	Higher in TB	FALSE
GO:0061919	process utilizing autophagic mechanism	549	11	0.558298196201803	3.13663321915847e-06	7.03886099548296e-05	Higher in TB	FALSE
GO:0043488	regulation of mRNA stability	173	2	0.397392205419587	3.26667343341339e-06	7.30088233207595e-05	Lower in TB	TRUE
GO:0032635	interleukin-6 production	113	4	0.626222874602108	3.59007768846453e-06	7.95897061741048e-05	Higher in TB	TRUE
GO:0032675	regulation of interleukin-6 production	113	4	0.626222874602108	3.59007768846453e-06	7.95897061741048e-05	Higher in TB	TRUE
GO:0032204	regulation of telomere maintenance	107	2	0.37035396648922	3.6190668122468e-06	7.99101579667987e-05	Lower in TB	TRUE
GO:0007004	telomere maintenance via telomerase	58	2	0.324415378517638	3.74768445557798e-06	8.24190765470708e-05	Lower in TB	TRUE
GO:0032729	positive regulation of type II interferon production	70	5	0.65979177223937	3.79356102575557e-06	8.30127398928979e-05	Higher in TB	TRUE
GO:0000768	syncytium formation by plasma membrane fusion	75	3	0.345653817895095	3.819975116934e-06	8.30127398928979e-05	Lower in TB	TRUE
GO:0140253	cell-cell fusion	75	3	0.345653817895095	3.819975116934e-06	8.30127398928979e-05	Lower in TB	TRUE
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	48	0	0.692653532316942	3.8819958299019e-06	8.40283979244119e-05	Higher in TB	TRUE
GO:0050657	nucleic acid transport	150	0	0.391055453596747	4.15657551874039e-06	8.92689539141979e-05	Lower in TB	TRUE
GO:0050658	RNA transport	150	0	0.391055453596747	4.15657551874039e-06	8.92689539141979e-05	Lower in TB	TRUE
GO:0051276	chromosome organization	506	4	0.44012999754188	4.19475359803183e-06	8.97383474006965e-05	Lower in TB	FALSE
GO:0042592	homeostatic process	1136	31	0.540639905567957	4.26035808520631e-06	9.07885610560631e-05	Higher in TB	FALSE
GO:0040029	epigenetic regulation of gene expression	284	1	0.420822701542005	4.50067272277382e-06	9.55393769490751e-05	Lower in TB	FALSE
GO:0030098	lymphocyte differentiation	323	30	0.425752177919808	4.60085328499208e-06	9.72903513880248e-05	Lower in TB	FALSE
GO:0030490	maturation of SSU-rRNA	69	1	0.340627611706051	4.70958104454374e-06	9.92079562563275e-05	Lower in TB	TRUE
