GO_ID	term	topGO_pvalue	topGO_significant	Wilcoxon_pvalue	Wilcoxon_significant	n_methods_included	n_methods_significant	median_pvalue
GO:0006103	2-oxoglutarate metabolic process	1.0	False	0.906766465143067	False	2	0	0.9533832325715335
GO:1901879	regulation of protein depolymerization	1.0	False	0.907078508482001	False	2	0	0.9535392542410005
GO:1903490	positive regulation of mitotic cytokinesis	1.0	False	0.907078508482001	False	2	0	0.9535392542410005
GO:0010713	negative regulation of collagen metabolic process	1.0	False	0.907235514437432	False	2	0	0.953617757218716
GO:0044029	positive regulation of gene expression via chromosomal CpG island demethylation	1.0	False	0.907235514437432	False	2	0	0.953617757218716
GO:0050798	activated T cell proliferation	1.0	False	0.907235514437432	False	2	0	0.953617757218716
GO:1903846	positive regulation of cellular response to transforming growth factor beta stimulus	1.0	False	0.907235514437432	False	2	0	0.953617757218716
GO:0001709	cell fate determination	1.0	False	0.907724866926685	False	2	0	0.9538624334633425
GO:0046189	phenol-containing compound biosynthetic process	1.0	False	0.907724866926685	False	2	0	0.9538624334633425
GO:0051882	mitochondrial depolarization	1.0	False	0.907724866926685	False	2	0	0.9538624334633425
GO:0090278	negative regulation of peptide hormone secretion	1.0	False	0.907724866926685	False	2	0	0.9538624334633425
GO:0062099	negative regulation of programmed necrotic cell death	1.0	False	0.908562101422322	False	2	0	0.954281050711161
GO:0071549	cellular response to dexamethasone stimulus	1.0	False	0.908875758892016	False	2	0	0.954437879446008
GO:0009123	nucleoside monophosphate metabolic process	1.0	False	0.909172264977863	False	2	0	0.9545861324889315
GO:0009208	pyrimidine ribonucleoside triphosphate metabolic process	1.0	False	0.909172264977863	False	2	0	0.9545861324889315
GO:0032330	regulation of chondrocyte differentiation	1.0	False	0.909172264977863	False	2	0	0.9545861324889315
GO:0032941	secretion by tissue	1.0	False	0.909172264977863	False	2	0	0.9545861324889315
GO:0038203	TORC2 signaling	1.0	False	0.909172264977863	False	2	0	0.9545861324889315
GO:0043632	modification-dependent macromolecule catabolic process	1.0	False	0.909172264977863	False	2	0	0.9545861324889315
GO:1900242	regulation of synaptic vesicle endocytosis	1.0	False	0.909172264977863	False	2	0	0.9545861324889315
GO:1901875	positive regulation of post-translational protein modification	1.0	False	0.909172264977863	False	2	0	0.9545861324889315
GO:0001101	response to acid chemical	1.0	False	0.909874244137924	False	2	0	0.954937122068962
GO:0002712	regulation of B cell mediated immunity	1.0	False	0.910615228961797	False	2	0	0.9553076144808985
GO:0002889	regulation of immunoglobulin mediated immune response	1.0	False	0.910615228961797	False	2	0	0.9553076144808985
GO:0051383	kinetochore organization	1.0	False	0.910615228961797	False	2	0	0.9553076144808985
GO:0072599	establishment of protein localization to endoplasmic reticulum	1.0	False	0.910615228961797	False	2	0	0.9553076144808985
GO:0035272	exocrine system development	1.0	False	0.910942881882673	False	2	0	0.9554714409413365
GO:0060080	inhibitory postsynaptic potential	1.0	False	0.910942881882673	False	2	0	0.9554714409413365
GO:0060795	cell fate commitment involved in formation of primary germ layer	1.0	False	0.910942881882673	False	2	0	0.9554714409413365
GO:0090336	positive regulation of brown fat cell differentiation	1.0	False	0.910942881882673	False	2	0	0.9554714409413365
GO:0090497	mesenchymal cell migration	1.0	False	0.910942881882673	False	2	0	0.9554714409413365
GO:0110076	negative regulation of ferroptosis	1.0	False	0.910942881882673	False	2	0	0.9554714409413365
GO:1904892	regulation of receptor signaling pathway via STAT	1.0	False	0.911543170259752	False	2	0	0.955771585129876
GO:0033687	osteoblast proliferation	1.0	False	0.911982921106845	False	2	0	0.9559914605534225
GO:0030534	adult behavior	1.0	False	0.912097226121332	False	2	0	0.956048613060666
GO:0071548	response to dexamethasone	1.0	False	0.912235244726642	False	2	0	0.956117622363321
GO:0033555	multicellular organismal response to stress	1.0	False	0.912430609560271	False	2	0	0.9562153047801355
GO:0035036	sperm-egg recognition	1.0	False	0.912430609560271	False	2	0	0.9562153047801355
GO:0042983	amyloid precursor protein biosynthetic process	1.0	False	0.912430609560271	False	2	0	0.9562153047801355
GO:0042984	regulation of amyloid precursor protein biosynthetic process	1.0	False	0.912430609560271	False	2	0	0.9562153047801355
GO:1903909	regulation of receptor clustering	1.0	False	0.912430609560271	False	2	0	0.9562153047801355
GO:0035542	regulation of SNARE complex assembly	1.0	False	0.91246791590603	False	2	0	0.956233957953015
GO:0008584	male gonad development	1.0	False	0.912471026429927	False	2	0	0.9562355132149635
GO:0042246	tissue regeneration	1.0	False	0.912471026429927	False	2	0	0.9562355132149635
GO:0046641	positive regulation of alpha-beta T cell proliferation	1.0	False	0.912793477715788	False	2	0	0.956396738857894
GO:0000266	mitochondrial fission	1.0	False	0.912945186682122	False	2	0	0.9564725933410609
GO:0007272	ensheathment of neurons	1.0	False	0.912945186682122	False	2	0	0.9564725933410609
GO:0008366	axon ensheathment	1.0	False	0.912945186682122	False	2	0	0.9564725933410609
GO:0010526	transposable element silencing	1.0	False	0.913113152983035	False	2	0	0.9565565764915175
GO:0014048	regulation of glutamate secretion	1.0	False	0.913326219186406	False	2	0	0.956663109593203
GO:0140014	mitotic nuclear division	1.0	False	0.913326219186406	False	2	0	0.956663109593203
GO:0071453	cellular response to oxygen levels	1.0	False	0.913465887924913	False	2	0	0.9567329439624566
GO:0097120	receptor localization to synapse	1.0	False	0.913542902875835	False	2	0	0.9567714514379175
GO:0016239	positive regulation of macroautophagy	1.0	False	0.91366853814998	False	2	0	0.95683426907499
GO:0046883	regulation of hormone secretion	1.0	False	0.9137230421795	False	2	0	0.95686152108975
