GO_ID	term	annotated	significant_genes	expected	fold_enrichment	pvalue_weight01	pvalue_classic	padj_classic_BH	significant	n_higher_in_TB	n_lower_in_TB	genes_higher_in_TB	genes_lower_in_TB
GO:0006635	fatty acid beta-oxidation	65	0	1.12	0	1	1	1	FALSE	0	0		
GO:0006654	phosphatidic acid biosynthetic process	29	0	0.5	0	1	1	1	FALSE	0	0		
GO:0006656	phosphatidylcholine biosynthetic process	22	0	0.38	0	1	1	1	FALSE	0	0		
GO:0006665	sphingolipid metabolic process	132	0	2.27	0	1	1	1	FALSE	0	0		
GO:0006670	sphingosine metabolic process	21	0	0.36	0	1	1	1	FALSE	0	0		
GO:0006672	ceramide metabolic process	85	0	1.46	0	1	1	1	FALSE	0	0		
GO:0006677	glycosylceramide metabolic process	17	0	0.29	0	1	1	1	FALSE	0	0		
GO:0006678	glucosylceramide metabolic process	11	0	0.19	0	1	1	1	FALSE	0	0		
GO:0006684	sphingomyelin metabolic process	19	0	0.33	0	1	1	1	FALSE	0	0		
GO:0006686	sphingomyelin biosynthetic process	12	0	0.21	0	1	1	1	FALSE	0	0		
GO:0006687	glycosphingolipid metabolic process	58	0	1	0	1	1	1	FALSE	0	0		
GO:0006688	glycosphingolipid biosynthetic process	38	0	0.65	0	1	1	1	FALSE	0	0		
GO:0006695	cholesterol biosynthetic process	50	0	0.86	0	1	1	1	FALSE	0	0		
GO:0006699	bile acid biosynthetic process	26	0	0.45	0	1	1	1	FALSE	0	0		
GO:0006704	glucocorticoid biosynthetic process	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006730	one-carbon metabolic process	21	0	0.36	0	1	1	1	FALSE	0	0		
GO:0006739	NADP+ metabolic process	33	0	0.57	0	1	1	1	FALSE	0	0		
GO:0006740	NADPH regeneration	21	0	0.36	0	1	1	1	FALSE	0	0		
GO:0006743	ubiquinone metabolic process	21	0	0.36	0	1	1	1	FALSE	0	0		
GO:0006744	ubiquinone biosynthetic process	19	0	0.33	0	1	1	1	FALSE	0	0		
GO:0006749	glutathione metabolic process	36	0	0.62	0	1	1	1	FALSE	0	0		
GO:0006750	glutathione biosynthetic process	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006760	folic acid-containing compound metabolic process	23	0	0.4	0	1	1	1	FALSE	0	0		
GO:0006766	vitamin metabolic process	27	0	0.46	0	1	1	1	FALSE	0	0		
GO:0006778	porphyrin-containing compound metabolic process	41	0	0.71	0	1	1	1	FALSE	0	0		
GO:0006779	porphyrin-containing compound biosynthetic process	29	0	0.5	0	1	1	1	FALSE	0	0		
GO:0006783	heme biosynthetic process	26	0	0.45	0	1	1	1	FALSE	0	0		
GO:0006784	heme A biosynthetic process	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006817	phosphate ion transport	14	0	0.24	0	1	1	1	FALSE	0	0		
GO:0006825	copper ion transport	14	0	0.24	0	1	1	1	FALSE	0	0		
GO:0006828	manganese ion transport	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006829	zinc ion transport	24	0	0.41	0	1	1	1	FALSE	0	0		
GO:0006833	water transport	12	0	0.21	0	1	1	1	FALSE	0	0		
GO:0006839	mitochondrial transport	31	0	0.53	0	1	1	1	FALSE	0	0		
GO:0006851	mitochondrial calcium ion transmembrane transport	23	0	0.4	0	1	1	1	FALSE	0	0		
GO:0006855	xenobiotic transmembrane transport	16	0	0.28	0	1	1	1	FALSE	0	0		
GO:0006857	oligopeptide transport	16	0	0.28	0	1	1	1	FALSE	0	0		
GO:0006858	extracellular transport	21	0	0.36	0	1	1	1	FALSE	0	0		
GO:0006863	purine nucleobase transport	11	0	0.19	0	1	1	1	FALSE	0	0		
GO:0006883	intracellular sodium ion homeostasis	20	0	0.34	0	1	1	1	FALSE	0	0		
GO:0006884	cell volume homeostasis	23	0	0.4	0	1	1	1	FALSE	0	0		
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	125	0	2.15	0	1	1	1	FALSE	0	0		
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	51	0	0.88	0	1	1	1	FALSE	0	0		
GO:0006891	intra-Golgi vesicle-mediated transport	32	0	0.55	0	1	1	1	FALSE	0	0		
GO:0006900	vesicle budding from membrane	85	0	1.46	0	1	1	1	FALSE	0	0		
GO:0006901	vesicle coating	37	0	0.64	0	1	1	1	FALSE	0	0		
GO:0006903	vesicle targeting	62	0	1.07	0	1	1	1	FALSE	0	0		
GO:0006904	vesicle docking involved in exocytosis	34	0	0.58	0	1	1	1	FALSE	0	0		
GO:0006907	pinocytosis	22	0	0.38	0	1	1	1	FALSE	0	0		
GO:0006921	cellular component disassembly involved in execution phase of apoptosis	21	0	0.36	0	1	1	1	FALSE	0	0		
GO:0006929	substrate-dependent cell migration	17	0	0.29	0	1	1	1	FALSE	0	0		
GO:0006939	smooth muscle contraction	52	0	0.89	0	1	1	1	FALSE	0	0		
GO:0006940	regulation of smooth muscle contraction	31	0	0.53	0	1	1	1	FALSE	0	0		
GO:0006942	regulation of striated muscle contraction	67	0	1.15	0	1	1	1	FALSE	0	0		
GO:0006971	hypotonic response	12	0	0.21	0	1	1	1	FALSE	0	0		
GO:0006972	hyperosmotic response	22	0	0.38	0	1	1	1	FALSE	0	0		
